fibrosis_type,fiber_angle_deg,density,prob,n_samples,std,se,ci_95,ci_lower,ci_upper
patchy,0,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,0,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,0,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,0,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,0,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,30,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,30,0.10000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,30,0.15000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,30,0.20000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,30,0.25000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
patchy,30,0.30000,0.02000,100,0.14071,0.01400,0.02744,0.00000,0.04744
patchy,30,0.35000,0.02000,100,0.14071,0.01400,0.02744,0.00000,0.04744
patchy,30,0.40000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
patchy,30,0.45000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
patchy,30,0.50000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,30,0.55000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,30,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,30,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,30,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,30,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,30,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,30,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,30,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,60,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,60,0.10000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,60,0.15000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
patchy,60,0.20000,0.03000,100,0.17145,0.01706,0.03344,0.00000,0.06344
patchy,60,0.25000,0.03000,100,0.17145,0.01706,0.03344,0.00000,0.06344
patchy,60,0.30000,0.03000,100,0.17145,0.01706,0.03344,0.00000,0.06344
patchy,60,0.35000,0.04000,100,0.19695,0.01960,0.03841,0.00159,0.07841
patchy,60,0.40000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,60,0.45000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,60,0.50000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,60,0.55000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,60,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,60,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,60,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,60,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,60,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,60,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,60,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,90,0.05000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
patchy,90,0.10000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
patchy,90,0.15000,0.02000,100,0.14071,0.01400,0.02744,0.00000,0.04744
patchy,90,0.20000,0.02000,100,0.14071,0.01400,0.02744,0.00000,0.04744
patchy,90,0.25000,0.03000,100,0.17145,0.01706,0.03344,0.00000,0.06344
patchy,90,0.30000,0.06000,100,0.23868,0.02375,0.04655,0.01345,0.10655
patchy,90,0.35000,0.03000,100,0.17145,0.01706,0.03344,0.00000,0.06344
patchy,90,0.40000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,90,0.45000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,90,0.50000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,90,0.55000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,90,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,90,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,90,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,90,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,90,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,90,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,90,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
