fibrosis_type,fiber_angle_deg,density,seed,atpi,final_time_ms
compact,0,0.2,52447,2.0,0.0
compact,0,0.2,19117,2.0,0.0
compact,0,0.2,18934,2.0,0.0
compact,0,0.2,28902,2.0,0.0
compact,0,0.2,11524,2.0,0.0
compact,0,0.25,45240,2.0,0.0
compact,0,0.25,23230,2.0,0.0
compact,0,0.25,65155,2.0,0.0
compact,0,0.25,82809,2.0,0.0
compact,0,0.25,5677,2.0,0.0
compact,0,0.25,52796,2.0,0.0
compact,0,0.25,46897,2.0,0.0
compact,0,0.25,90559,2.0,0.0
compact,0,0.25,38775,2.0,0.0
compact,0,0.25,16756,2.0,0.0
compact,0,0.25,29551,2.0,0.0
compact,0,0.25,73575,2.0,0.0
compact,0,0.25,1104,2.0,0.0
compact,0,0.25,90527,2.0,0.0
compact,0,0.25,98995,2.0,0.0
compact,0,0.25,35564,2.0,0.0
compact,0,0.25,87119,2.0,0.0
compact,0,0.25,81477,2.0,0.0
compact,0,0.25,5862,2.0,0.0
compact,0,0.25,66578,2.0,0.0
compact,0,0.25,82077,2.0,0.0
compact,0,0.25,24294,2.0,0.0
compact,0,0.25,68937,2.0,0.0
compact,0,0.25,78434,2.0,0.0
compact,0,0.25,49941,2.0,0.0
compact,0,0.25,77737,2.0,0.0
compact,0,0.25,71425,2.0,0.0
compact,0,0.25,49360,2.0,0.0
compact,0,0.25,87525,2.0,0.0
compact,0,0.25,58591,2.0,0.0
compact,0,0.25,25439,2.0,0.0
compact,0,0.25,62885,2.0,0.0
compact,0,0.25,56,2.0,0.0
compact,0,0.25,51267,2.0,0.0
compact,0,0.25,40086,2.0,0.0
compact,0,0.25,46016,2.0,0.0
compact,0,0.25,38158,2.0,0.0
compact,0,0.25,78286,2.0,0.0
compact,0,0.25,45588,2.0,0.0
compact,0,0.25,31886,2.0,0.0
compact,0,0.25,4383,2.0,0.0
compact,0,0.25,33200,2.0,0.0
compact,0,0.25,65344,2.0,0.0
compact,0,0.25,61010,2.0,0.0
compact,0,0.25,47678,2.0,0.0
compact,0,0.25,66684,2.0,0.0
compact,0,0.25,76232,2.0,0.0
compact,0,0.25,26255,2.0,0.0
compact,0,0.25,73096,2.0,0.0
compact,0,0.25,43438,2.0,0.0
compact,0,0.25,5098,2.0,0.0
compact,0,0.25,16858,2.0,0.0
compact,0,0.25,31828,2.0,0.0
compact,0,0.25,18561,2.0,0.0
compact,0,0.25,37106,2.0,0.0
compact,0,0.25,95865,2.0,0.0
compact,0,0.25,6797,2.0,0.0
compact,0,0.25,85634,2.0,0.0
compact,0,0.25,3677,2.0,0.0
compact,0,0.25,94215,2.0,0.0
compact,0,0.25,67389,2.0,0.0
compact,0,0.25,58477,2.0,0.0
compact,0,0.25,41169,2.0,0.0
compact,0,0.25,44373,2.0,0.0
compact,0,0.25,13391,2.0,0.0
compact,0,0.25,13265,2.0,0.0
compact,0,0.25,92885,2.0,0.0
compact,0,0.25,56788,2.0,0.0
compact,0,0.25,44442,2.0,0.0
compact,0,0.25,29545,2.0,0.0
compact,0,0.25,4443,2.0,0.0
compact,0,0.25,39454,2.0,0.0
compact,0,0.25,10608,2.0,0.0
compact,0,0.25,86974,2.0,0.0
compact,0,0.25,83746,2.0,0.0
compact,0,0.25,86361,2.0,0.0
compact,0,0.25,42449,2.0,0.0
compact,0,0.25,253,2.0,0.0
compact,0,0.25,94754,2.0,0.0
compact,0,0.25,91205,2.0,0.0
compact,0,0.25,59127,2.0,0.0
compact,0,0.25,78940,2.0,0.0
compact,0,0.25,68847,2.0,0.0
compact,0,0.25,55604,2.0,0.0
compact,0,0.25,99258,2.0,0.0
compact,0,0.25,44717,2.0,0.0
compact,0,0.25,85405,2.0,0.0
compact,0,0.25,15192,2.0,0.0
compact,0,0.25,63894,2.0,0.0
compact,0,0.25,57098,2.0,0.0
