fibrosis_type,fiber_angle_deg,density,seed,atpi,final_time_ms
compact,0,0.05,9615671528,2.0,0.0
diffuse,0,0.05,3753566142,2.0,0.0
interstitial,0,0.05,5579809537,2.0,0.0
patchy,0,0.05,8813045331,2.0,0.0
interstitial,0,0.05,7599830787,2.0,0.0
compact,0,0.05,9895229241,2.0,0.0
diffuse,0,0.05,1806742986,2.0,0.0
patchy,0,0.05,5579809537,2.0,0.0
interstitial,0,0.05,3783596351,2.0,0.0
compact,0,0.05,8463968755,2.0,0.0
patchy,0,0.05,7599830787,2.0,0.0
diffuse,0,0.05,3093445294,2.0,0.0
interstitial,0,0.05,9255246124,2.0,0.0
patchy,0,0.05,3783596351,2.0,0.0
compact,0,0.05,2087590310,2.0,0.0
interstitial,0,0.05,9769371346,2.0,0.0
diffuse,0,0.05,3871896320,2.0,0.0
patchy,0,0.05,9255246124,2.0,0.0
compact,0,0.05,8713744819,2.0,0.0
interstitial,0,0.05,462908093,2.0,0.0
diffuse,0,0.05,8813045331,2.0,0.0
patchy,0,0.05,9769371346,2.0,0.0
interstitial,0,0.05,6992987157,2.0,0.0
compact,0,0.05,9929456640,2.0,0.0
diffuse,0,0.05,5579809537,2.0,0.0
patchy,0,0.05,462908093,2.0,0.0
interstitial,0,0.05,6785912112,2.0,0.0
compact,0,0.05,5509870200,2.0,0.0
diffuse,0,0.05,7599830787,2.0,0.0
patchy,0,0.05,6992987157,2.0,0.0
interstitial,0,0.05,5815996253,2.0,0.0
patchy,0,0.05,6785912112,2.0,0.0
interstitial,0,0.05,5762620602,2.0,0.0
compact,0,0.05,1924147805,2.0,0.0
diffuse,0,0.05,3783596351,2.0,0.0
patchy,0,0.05,5815996253,2.0,0.0
interstitial,0,0.05,9228145936,2.0,0.0
compact,0,0.05,2407253723,2.0,0.0
diffuse,0,0.05,9255246124,2.0,0.0
patchy,0,0.05,5762620602,2.0,0.0
interstitial,0,0.05,4798457802,2.0,0.0
patchy,0,0.05,9228145936,2.0,0.0
compact,0,0.05,6969384055,2.0,0.0
diffuse,0,0.05,9769371346,2.0,0.0
interstitial,0,0.05,2863465351,2.0,0.0
patchy,0,0.05,4798457802,2.0,0.0
interstitial,0,0.05,428199325,2.0,0.0
compact,0,0.05,4021883132,2.0,0.0
diffuse,0,0.05,462908093,2.0,0.0
patchy,0,0.05,2863465351,2.0,0.0
interstitial,0,0.05,1996516809,2.0,0.0
compact,0,0.05,7435253948,2.0,0.0
diffuse,0,0.05,6992987157,2.0,0.0
patchy,0,0.05,428199325,2.0,0.0
interstitial,0,0.05,9615671528,2.0,0.0
patchy,0,0.05,1996516809,2.0,0.0
compact,0,0.05,8242957005,2.0,0.0
diffuse,0,0.05,6785912112,2.0,0.0
interstitial,0,0.05,9895229241,2.0,0.0
patchy,0,0.05,9615671528,2.0,0.0
interstitial,0,0.05,8463968755,2.0,0.0
compact,0,0.05,7674453130,2.0,0.0
diffuse,0,0.05,5815996253,2.0,0.0
patchy,0,0.05,9895229241,2.0,0.0
interstitial,0,0.05,2087590310,2.0,0.0
compact,0,0.05,2116080963,2.0,0.0
diffuse,0,0.05,5762620602,2.0,0.0
patchy,0,0.05,8463968755,2.0,0.0
interstitial,0,0.05,8713744819,2.0,0.0
compact,0,0.05,5101019868,2.0,0.0
patchy,0,0.05,2087590310,2.0,0.0
diffuse,0,0.05,9228145936,2.0,0.0
interstitial,0,0.05,9929456640,2.0,0.0
patchy,0,0.05,8713744819,2.0,0.0
compact,0,0.05,1309526669,2.0,0.0
diffuse,0,0.05,4798457802,2.0,0.0
interstitial,0,0.05,5509870200,2.0,0.0
patchy,0,0.05,9929456640,2.0,0.0
interstitial,0,0.05,1924147805,2.0,0.0
compact,0,0.05,1855686211,2.0,0.0
diffuse,0,0.05,2863465351,2.0,0.0
patchy,0,0.05,5509870200,2.0,0.0
interstitial,0,0.05,2407253723,2.0,0.0
compact,0,0.05,527597011,2.0,0.0
diffuse,0,0.05,428199325,2.0,0.0
patchy,0,0.05,1924147805,2.0,0.0
interstitial,0,0.05,6969384055,2.0,0.0
compact,0,0.05,1258989199,2.0,0.0
patchy,0,0.05,2407253723,2.0,0.0
diffuse,0,0.05,1996516809,2.0,0.0
interstitial,0,0.05,4021883132,2.0,0.0
compact,0,0.05,9354132757,2.0,0.0
patchy,0,0.05,6969384055,2.0,0.0
diffuse,0,0.05,9615671528,2.0,0.0
interstitial,0,0.05,7435253948,2.0,0.0
patchy,0,0.05,4021883132,2.0,0.0
compact,0,0.05,7039289027,2.0,0.0
diffuse,0,0.05,9895229241,2.0,0.0
interstitial,0,0.05,8242957005,2.0,0.0
patchy,0,0.05,7435253948,2.0,0.0
compact,0,0.05,1172929260,2.0,0.0
diffuse,0,0.05,8463968755,2.0,0.0
interstitial,0,0.05,7674453130,2.0,0.0
patchy,0,0.05,8242957005,2.0,0.0
compact,0,0.1,2323000660,2.0,0.0
diffuse,0,0.05,2087590310,2.0,0.0
interstitial,0,0.05,2116080963,2.0,0.0
patchy,0,0.05,7674453130,2.0,0.0
compact,0,0.1,8281057198,2.0,0.0
diffuse,0,0.05,8713744819,2.0,0.0
interstitial,0,0.05,5101019868,2.0,0.0
patchy,0,0.05,2116080963,2.0,0.0
compact,0,0.1,5279693496,2.0,0.0
interstitial,0,0.05,1309526669,2.0,0.0
diffuse,0,0.05,9929456640,2.0,0.0
patchy,0,0.05,5101019868,2.0,0.0
compact,0,0.1,9056029292,2.0,0.0
interstitial,0,0.05,1855686211,2.0,0.0
diffuse,0,0.05,5509870200,2.0,0.0
patchy,0,0.05,1309526669,2.0,0.0
compact,0,0.1,1675625465,2.0,0.0
interstitial,0,0.05,527597011,2.0,0.0
diffuse,0,0.05,1924147805,2.0,0.0
patchy,0,0.05,1855686211,2.0,0.0
compact,0,0.1,7357558571,2.0,0.0
interstitial,0,0.05,1258989199,2.0,0.0
diffuse,0,0.05,2407253723,2.0,0.0
patchy,0,0.05,527597011,2.0,0.0
interstitial,0,0.05,9354132757,2.0,0.0
compact,0,0.1,9052842836,2.0,0.0
diffuse,0,0.05,6969384055,2.0,0.0
patchy,0,0.05,1258989199,2.0,0.0
interstitial,0,0.05,7039289027,2.0,0.0
compact,0,0.1,3556407089,2.0,0.0
diffuse,0,0.05,4021883132,2.0,0.0
patchy,0,0.05,9354132757,2.0,0.0
interstitial,0,0.05,1172929260,2.0,0.0
compact,0,0.1,8147802193,2.0,0.0
patchy,0,0.05,7039289027,2.0,0.0
diffuse,0,0.05,7435253948,2.0,0.0
interstitial,0,0.1,2323000660,2.0,0.0
patchy,0,0.05,1172929260,2.0,0.0
compact,0,0.1,6657838753,2.0,0.0
diffuse,0,0.05,8242957005,2.0,0.0
interstitial,0,0.1,8281057198,2.0,0.0
patchy,0,0.1,2323000660,2.0,0.0
compact,0,0.1,2429371439,2.0,0.0
interstitial,0,0.1,5279693496,2.0,0.0
diffuse,0,0.05,7674453130,2.0,0.0
patchy,0,0.1,8281057198,2.0,0.0
interstitial,0,0.1,9056029292,2.0,0.0
compact,0,0.1,7843554712,2.0,0.0
diffuse,0,0.05,2116080963,2.0,0.0
patchy,0,0.1,5279693496,2.0,0.0
interstitial,0,0.1,1675625465,2.0,0.0
compact,0,0.1,7773847238,2.0,0.0
diffuse,0,0.05,5101019868,2.0,0.0
patchy,0,0.1,9056029292,2.0,0.0
interstitial,0,0.1,7357558571,2.0,0.0
compact,0,0.1,4936034257,2.0,0.0
diffuse,0,0.05,1309526669,2.0,0.0
patchy,0,0.1,1675625465,2.0,0.0
interstitial,0,0.1,9052842836,2.0,0.0
compact,0,0.1,5859153705,2.0,0.0
diffuse,0,0.05,1855686211,2.0,0.0
